pair,iso3_o,iso3_d,year,log_trade,fta,log_distance,common_language,contiguity,colony,log_gdp_o,log_gdp_d
AFG_AGO,AFG,AGO,2010,6.45472832701018,0,8.93498204921323,0,0,0,16.5841404784787,18.2279560086511
AFG_AGO,AFG,AGO,2011,5.61480917435303,0,8.93498204921323,0,0,0,16.6986428334862,18.4610149882842
AFG_AGO,AFG,AGO,2012,6.91015539639462,0,8.93498204921323,0,0,0,16.8362669029262,18.5634083518693
AFG_AGO,AFG,AGO,2013,4.58456944028013,0,8.93498204921323,0,0,0,16.826607780595,18.6372285396876
AFG_AGO,AFG,AGO,2014,4.38293871859885,0,8.93498204921323,0,0,0,16.8137492047391,18.6579392257357
AFG_AGO,AFG,AGO,2015,5.72263366909149,0,8.93498204921323,0,0,0,16.796280793993,18.4498728919553
AFG_AGO,AFG,AGO,2016,5.8237852670509,0,8.93498204921323,0,0,0,16.7843351030492,18.3112358209364
AFG_AGO,AFG,AGO,2017,4.23175591804506,0,8.93498204921323,0,0,0,16.746889340195,18.0492222569114
AFG_AGO,AFG,AGO,2018,4.76792658728721,0,8.93498204921323,0,0,0,16.7088350953907,18.1695612405195
AFG_AGO,AFG,AGO,2019,0.99916020969645,0,8.93498204921323,0,0,0,16.7493382115755,18.0540868380266
AFG_ARE,AFG,ARE,2010,7.92889239437084,0,7.42892719480227,0,0,0,16.5841404784787,19.4716747475484
AFG_ARE,AFG,ARE,2011,7.33701698862654,0,7.42892719480227,0,0,0,16.6986428334862,19.6661429730964
AFG_ARE,AFG,ARE,2012,12.3255147574914,0,7.42892719480227,0,0,0,16.8362669029262,19.7352480909931
AFG_ARE,AFG,ARE,2013,10.5246018526035,0,7.42892719480227,0,0,0,16.826607780595,19.8128083548613
AFG_ARE,AFG,ARE,2014,10.1320322115724,0,7.42892719480227,0,0,0,16.8137492047391,19.8149375451812
AFG_ARE,AFG,ARE,2015,10.3383706115428,0,7.42892719480227,0,0,0,16.796280793993,19.6959016645351
AFG_ARE,AFG,ARE,2016,12.4248001645109,0,7.42892719480227,0,0,0,16.7843351030492,19.6698465945696
AFG_ARE,AFG,ARE,2017,11.5973660110374,0,7.42892719480227,0,0,0,16.746889340195,19.7703254018617
AFG_ARE,AFG,ARE,2018,11.7029128060831,0,7.42892719480227,0,0,0,16.7088350953907,19.8610253241625
AFG_ARE,AFG,ARE,2019,13.830094703423,0,7.42892719480227,0,0,0,16.7493382115755,19.8491135754889
AFG_ARG,AFG,ARG,2010,-5.11599580975408,0,9.63371088395318,0,0,0,16.5841404784787,19.9525976406429
AFG_ARG,AFG,ARG,2011,2.11770025379693,0,9.63371088395318,0,0,0,16.6986428334862,20.1393806647605
AFG_ARG,AFG,ARG,2012,2.66172699149657,0,9.63371088395318,0,0,0,16.8362669029262,20.2176815191075
AFG_ARG,AFG,ARG,2013,6.08999453775351,0,9.63371088395318,0,0,0,16.826607780595,20.2287874666143
AFG_ARG,AFG,ARG,2014,3.13935631363687,0,9.63371088395318,0,0,0,16.8137492047391,20.0814193456651
AFG_ARG,AFG,ARG,2015,1.86516481364433,0,9.63371088395318,0,0,0,16.796280793993,20.1866290717392
AFG_ARG,AFG,ARG,2016,2.90853906185161,0,9.63371088395318,0,0,0,16.7843351030492,20.1178843644342
AFG_ARG,AFG,ARG,2017,3.83375871543202,0,9.63371088395318,0,0,0,16.746889340195,20.2826325110932
AFG_ARG,AFG,ARG,2018,2.53011899260955,0,9.63371088395318,0,0,0,16.7088350953907,20.0785654147779
AFG_ARG,AFG,ARG,2019,3.28248891792927,0,9.63371088395318,0,0,0,16.7493382115755,19.9310017778923
AFG_ARM,AFG,ARM,2010,2.8653388096204,0,7.72533003791714,0,0,0,16.5841404784787,16.0412455970709
AFG_ARM,AFG,ARM,2011,1.04521151194099,0,7.72533003791714,0,0,0,16.6986428334862,16.1322296110889
AFG_ARM,AFG,ARM,2012,0.641327431830149,0,7.72533003791714,0,0,0,16.8362669029262,16.1139086705767
AFG_ARM,AFG,ARM,2013,1.6968991882041,0,7.72533003791714,0,0,0,16.826607780595,16.1604048574943
AFG_ARM,AFG,ARM,2014,3.84496397714621,0,7.72533003791714,0,0,0,16.8137492047391,16.2673354027511
AFG_ARM,AFG,ARM,2015,-4.13516655674236,0,7.72533003791714,0,0,0,16.796280793993,16.1696612666631
AFG_ARM,AFG,ARM,2016,4.40233158676423,0,7.72533003791714,0,0,0,16.7843351030492,16.1713834069244
AFG_ARM,AFG,ARM,2017,0.592774206413158,0,7.72533003791714,0,0,0,16.746889340195,16.2602424486952
AFG_ARM,AFG,ARM,2018,1.54329810992956,0,7.72533003791714,0,0,0,16.7088350953907,16.3378688816773
AFG_ARM,AFG,ARM,2019,1.601002433613,0,7.72533003791714,0,0,0,16.7493382115755,16.4269978280369
AFG_AUS,AFG,AUS,2010,5.22601545479263,0,9.3426835589639,0,0,0,16.5841404784787,20.8554055508512
AFG_AUS,AFG,AUS,2011,6.64158939751706,0,9.3426835589639,0,0,0,16.6986428334862,21.0511775175073
AFG_AUS,AFG,AUS,2012,7.4463721243215,0,9.3426835589639,0,0,0,16.8362669029262,21.1514221782382
AFG_AUS,AFG,AUS,2013,6.91169351394466,0,9.3426835589639,0,0,0,16.826607780595,21.1681903766252
AFG_AUS,AFG,AUS,2014,7.67119548546184,0,9.3426835589639,0,0,0,16.8137492047391,21.1014268025748
AFG_AUS,AFG,AUS,2015,6.92279757424737,0,9.3426835589639,0,0,0,16.796280793993,21.0199446942223
AFG_AUS,AFG,AUS,2016,5.547432711951,0,9.3426835589639,0,0,0,16.7843351030492,20.9094270375046
AFG_AUS,AFG,AUS,2017,6.09645724512919,0,9.3426835589639,0,0,0,16.746889340195,21.0060983231492
AFG_AUS,AFG,AUS,2018,6.178137041497,0,9.3426835589639,0,0,0,16.7088350953907,21.0799114804016
AFG_AUS,AFG,AUS,2019,7.5925269829547,0,9.3426835589639,0,0,0,16.7493382115755,21.0539732821632
AFG_AUT,AFG,AUT,2010,4.60618966614156,0,8.42748727833174,0,0,0,16.5841404784787,19.7807750733764
AFG_AUT,AFG,AUT,2011,5.00542172704337,0,8.42748727833174,0,0,0,16.6986428334862,19.8771994217952
AFG_AUT,AFG,AUT,2012,5.66306811323219,0,8.42748727833174,0,0,0,16.8362669029262,19.8257359324716
AFG_AUT,AFG,AUT,2013,5.2882821820949,0,8.42748727833174,0,0,0,16.826607780595,19.8753855701509
AFG_AUT,AFG,AUT,2014,5.49243985101511,0,8.42748727833174,0,0,0,16.8137492047391,19.8985879341644
AFG_AUT,AFG,AUT,2015,5.33021808455704,0,8.42748727833174,0,0,0,16.796280793993,19.747669262564
AFG_AUT,AFG,AUT,2016,6.08301539674991,0,8.42748727833174,0,0,0,16.7843351030492,19.7724555550266
AFG_AUT,AFG,AUT,2017,5.75294717185398,0,8.42748727833174,0,0,0,16.746889340195,19.8492228471592
AFG_AUT,AFG,AUT,2018,6.2851541630799,0,8.42748727833174,0,0,0,16.7088350953907,19.9361774733441
AFG_AUT,AFG,AUT,2019,7.32346044494545,0,8.42748727833174,0,0,0,16.7493382115755,19.9136115200083
AFG_BEL,AFG,BEL,2010,4.83127734148601,0,8.59785109443369,0,0,0,16.5841404784787,19.9984303742287
AFG_BEL,AFG,BEL,2011,5.52096479481356,0,8.59785109443369,0,0,0,16.6986428334862,20.08505703656
AFG_BEL,AFG,BEL,2012,5.37416204404135,0,8.59785109443369,0,0,0,16.8362669029262,20.0278225203305
AFG_BEL,AFG,BEL,2013,4.05556908327069,0,8.59785109443369,0,0,0,16.826607780595,20.0785383477336
AFG_BEL,AFG,BEL,2014,5.94665283339887,0,8.59785109443369,0,0,0,16.8137492047391,20.0916857271348
AFG_BEL,AFG,BEL,2015,4.44691275164302,0,8.59785109443369,0,0,0,16.796280793993,19.9357888886979
AFG_BEL,AFG,BEL,2016,4.82016059054591,0,8.59785109443369,0,0,0,16.7843351030492,19.9604807406975
AFG_BEL,AFG,BEL,2017,7.70039614898135,0,8.59785109443369,0,0,0,16.746889340195,20.03563286626
AFG_BEL,AFG,BEL,2018,5.23359749563426,0,8.59785109443369,0,0,0,16.7088350953907,20.1132593935081
AFG_BEL,AFG,BEL,2019,8.08178791635625,0,8.59785109443369,0,0,0,16.7493382115755,20.0984803439265
AFG_BFA,AFG,BFA,2010,2.18728646863058,0,8.92025541490809,0,0,0,16.5841404784787,16.035723174413
AFG_BFA,AFG,BFA,2011,3.14199478053224,0,8.92025541490809,0,0,0,16.6986428334862,16.1569083547332
AFG_BFA,AFG,BFA,2012,1.5551928975817,0,8.92025541490809,0,0,0,16.8362669029262,16.188209767535
AFG_BFA,AFG,BFA,2013,2.97261716604794,0,8.92025541490809,0,0,0,16.826607780595,16.2650107449553
AFG_BFA,AFG,BFA,2014,3.70384195550345,0,8.92025541490809,0,0,0,16.8137492047391,16.3332625232291
AFG_BFA,AFG,BFA,2015,0.965842510703403,0,8.92025541490809,0,0,0,16.796280793993,16.2268387528155
